feedback_id,date,feedback,source,cleaned_text,sentiment,sentiment_score,sentiment_confidence,topics,keywords,emotion,aspect_sentiments,severity,severity_reason,priority,priority_score,priority_reason,department,department_reason,impact_level,impact_reason,action,action_reason,recommendation,recommendation_reason,suggested_next_step,recommendation_status,validation_status
FB0218,2026-06-03,The software keeps crashing is good but attendance pressure is too much. lol,Course Feedback,The software keeps crashing is good but attendance pressure is too much. lol,Negative,0.9991,0.9991,"[""Attendance Pressure"", ""Software""]","[""attendance pressure"", ""software"", ""crashing""]",Frustration,"[{""aspect"": ""Software Keeps"", ""sentiment"": ""Positive""}, {""aspect"": ""Attendance Pressure"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Academic Affairs,Matched the analyzed topic/keyword 'attendance' to Academic Affairs.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Academic Affairs department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Academic Affairs to review the feedback and complete the create task action.,FALLBACK,VALID
FB0233,2026-06-03,projector wasnt working in class,Survey,projector wasnt working in class,Negative,0.9982,0.9982,"[""Projector"", ""Class""]","[""projector"", ""class""]",Frustration,"[{""aspect"": ""Projector"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,IT,Matched the analyzed topic/keyword 'projector' to IT.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the IT department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask IT to review the feedback and complete the create task action.,FALLBACK,VALID
FB0364,2026-06-03,timings should be extended,Suggestion Box,timings should be extended,Negative,0.9056,0.9056,"[""Extended"", ""Timings""]","[""extended"", ""timings""]",Frustration,"[{""aspect"": ""Timings Should"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,General Services,No configured topic match was found; routing to General Services.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the General Services department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask General Services to review the feedback and complete the create task action.,FALLBACK,VALID
FB0556,2026-06-03,network in the lab is bad,Suggestion Box,network in the lab is bad,Negative,0.9998,0.9998,"[""Network"", ""Lab""]","[""network"", ""lab""]",Frustration,"[{""aspect"": ""Network Lab"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,IT,Matched the analyzed topic/keyword 'network' to IT.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the IT department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask IT to review the feedback and complete the create task action.,FALLBACK,VALID
FB0603,2026-06-03,admin office takes too long bhai,Student Portal,admin office takes too long bhai,Negative,0.9991,0.9991,"[""Admin Office Takes"", ""Long Bhai""]","[""admin office takes"", ""long bhai""]",Frustration,"[{""aspect"": ""Admin Office"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,General Services,No configured topic match was found; routing to General Services.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the General Services department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask General Services to review the feedback and complete the create task action.,FALLBACK,VALID
FB0609,2026-06-03,"practical sessions are useful, but honestly faculty is approachable. :/",Course Feedback,"practical sessions are useful, but honestly faculty is approachable. :/",Positive,0.9985,0.9985,"[""Practical Sessions"", ""Faculty""]","[""practical sessions"", ""honestly faculty"", ""useful""]",Frustration,"[{""aspect"": ""Practical Sessions"", ""sentiment"": ""Positive""}, {""aspect"": ""Honestly Faculty"", ""sentiment"": ""Positive""}]",LOW,No strong operational or safety signal was found.,P4,0.25,Priority is based on severity (LOW) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'ac' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,MONITOR,Low-risk feedback can be monitored.,Monitor this low-severity issue with the Facilities department.,The LangGraph decision classified this issue as LOW severity with P4 priority.,Ask Facilities to review the feedback and complete the monitor action.,FALLBACK,VALID
FB0624,2026-06-03,administration handled it well tbh btw pls check,Course Feedback,administration handled it well tbh btw pls check,Negative,0.6488,0.6488,"[""Administration Handled"", ""Check""]","[""administration handled"", ""check"", ""btw""]",Frustration,"[{""aspect"": ""Administration Handled"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,General Services,No configured topic match was found; routing to General Services.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the General Services department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask General Services to review the feedback and complete the create task action.,FALLBACK,VALID
FB0735,2026-06-03,"good experience with canteen samosa is actually good, bad experience with overall library is good tbh kaafi annoying hai",Student Portal,"good experience with canteen samosa is actually good, bad experience with overall library is good tbh kaafi annoying hai",Positive,0.6999,0.6999,"[""Kaafi Annoying"", ""Canteen Samosa""]","[""kaafi annoying"", ""canteen samosa"", ""experience"", ""overall library""]",Satisfaction,"[{""aspect"": ""Experience Canteen"", ""sentiment"": ""Positive""}]",LOW,No strong operational or safety signal was found.,P4,0.25,Priority is based on severity (LOW) and assessed impact.,Facilities,Matched the analyzed topic/keyword 'ac' to Facilities.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,MONITOR,Low-risk feedback can be monitored.,Monitor this low-severity issue with the Facilities department.,The LangGraph decision classified this issue as LOW severity with P4 priority.,Ask Facilities to review the feedback and complete the monitor action.,FALLBACK,VALID
FB0965,2026-06-03,good study environment thoda improve karo,Complaint,good study environment thoda improve karo,Positive,0.999,0.999,"[""Study Environment Thoda"", ""Karo""]","[""study environment thoda"", ""karo""]",Satisfaction,"[{""aspect"": ""Study Environment"", ""sentiment"": ""Positive""}]",LOW,No strong operational or safety signal was found.,P4,0.25,Priority is based on severity (LOW) and assessed impact.,General Services,No configured topic match was found; routing to General Services.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,MONITOR,Low-risk feedback can be monitored.,Monitor this low-severity issue with the General Services department.,The LangGraph decision classified this issue as LOW severity with P4 priority.,Ask General Services to review the feedback and complete the monitor action.,FALLBACK,VALID
FB1013,2026-06-03,"chai is good lol is great, although not enough companies are coming.",Complaint,"chai is good lol is great, although not enough companies are coming.",Negative,0.9999,0.9999,"[""Chai"", ""Companies""]","[""chai"", ""companies""]",Disappointment,"[{""aspect"": ""Chai"", ""sentiment"": ""Positive""}, {""aspect"": ""Companies Coming"", ""sentiment"": ""Negative""}]",MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,Placement Cell,Matched the analyzed topic/keyword 'companies' to Placement Cell.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the Placement Cell department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask Placement Cell to review the feedback and complete the create task action.,FALLBACK,VALID
FB1099,2026-06-03,could be better tbh idk,Survey,could be better tbh idk,Negative,0.998,0.998,[],[],Frustration,[],MEDIUM,Negative feedback describes an issue that should be addressed but has no verified emergency signal.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,General Services,No configured topic match was found; routing to General Services.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the General Services department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask General Services to review the feedback and complete the create task action.,FALLBACK,VALID
FB0001,2026-06-04,infrastructure has improved,Student Portal,infrastructure has improved,Positive,0.9997,0.9997,"[""Infrastructure"", ""Improved""]","[""infrastructure"", ""improved""]",Joy,"[{""aspect"": ""Infrastructure Has"", ""sentiment"": ""Positive""}]",LOW,No strong operational or safety signal was found.,P4,0.25,Priority is based on severity (LOW) and assessed impact.,General Services,No configured topic match was found; routing to General Services.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,MONITOR,Low-risk feedback can be monitored.,Monitor this low-severity issue with the General Services department.,The LangGraph decision classified this issue as LOW severity with P4 priority.,Ask General Services to review the feedback and complete the monitor action.,FALLBACK,VALID
FB0002,2026-06-04,The canteen samosa is actually good is good but network in the lab is bad.,Student Portal,The canteen samosa is actually good is good but network in the lab is bad.,Mixed,0.9983,0.9983,"[""Canteen Samosa"", ""Network""]","[""canteen samosa"", ""network"", ""lab""]",Concern,"[{""aspect"": ""Canteen Samosa"", ""sentiment"": ""Positive""}, {""aspect"": ""Network Lab"", ""sentiment"": ""Negative""}]",MEDIUM,Mixed feedback contains a concern that merits follow-up.,P3,0.5,Priority is based on severity (MEDIUM) and assessed impact.,IT,Matched the analyzed topic/keyword 'network' to IT.,INDIVIDUAL,The feedback describes an individual or unspecified impact.,CREATE_TASK,Medium-severity feedback should create a trackable remediation task.,Create Task this medium-severity issue with the IT department.,The LangGraph decision classified this issue as MEDIUM severity with P3 priority.,Ask IT to review the feedback and complete the create task action.,FALLBACK,VALID
